;index;Category;Image_link;Discount_icon_text;Item_name;Item_discount_time;Discount_shop_size;Item_price_euro;Item_price_cents;Discount_text_decorator;Discount_facilitator
0;0;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/656def96f12b8.png;;"
        Bananai, 1 kg
    ";"
             Iki 12.11
                ";0;0;79;;
1;1;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/656def966f500.png;;"
        Didieji greipfrutai POMELO, 1 kg
    ";"
             Iki 12.11
                ";0;0;99;;
2;2;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/656def50a9436.png;;"
        Ilgavaisis agurkas, 1 vnt.
    ";"
             Iki 12.11
                ";0;0;89;;
3;3;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/656def4e79922.png;;"
        Mandarinai, fasuoti, 1 kg
    ";"
             Iki 12.11
                ";0;1;19;;
4;4;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/656def4f6f3ad.png;;"
        Raudonos saldžiosios paprikos, 1 kg
    ";"
             Iki 12.11
                ";0;2;45;;
5;5;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/656def502e887.png;;"
        Šilauogės kibirėlyje, fasuotos, 400 g
    ";"
             Iki 12.11
                ";0;5;29;;
6;6;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/656def4fe5afb.png;;"
        Žaliosios besėklės vynuogės, fasuotos, 500 g
    ";"
             Iki 12.11
                ";0;2;49;;
7;7;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/656def52ea48e.png;;"
        Mangas, 1 vnt.
    ";"
             Iki 12.11
                ";0;0;99;;
8;8;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/656def526d538.png;;"
        Granatai, 1 kg
    ";"
             Iki 12.11
                ";0;1;59;;
9;9;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/656def51e872f.png;;"
        Obuoliai JONAGOLD, 1 kg
    ";"
             Iki 12.11
                ";0;0;59;;
10;10;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/656def512dd15.png;;"
        Avokadai READY TO EAT WELL DONE, fasuoti, 1 pak. (2 vnt.)
    ";"
             Iki 12.11
                ";0;1;69;;
11;11;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/656def51766f7.png;;"
        Bulvės LINKĖJIMAI IŠ KAIMO, fasuotos, 1 kg
    ";"
             Iki 12.11
                ";0;0;59;;
12;12;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/656def55e6f6c.png;;"
        Lietuviški lupti virti burokėliai LINKĖJIMAI IŠ KAIMO, vakuumuoti, 500 g
    ";"
             Iki 12.11
                ";0;0;55;;
13;13;Vaisiai ir daržovės;https://offers.maxima.lt/media/MarketingOffer/656def54e8042.png;;"
        Rauginti agurkai LINKĖJIMAI IŠ KAIMO, vakuumuoti, 500 g
    ";"
             Iki 12.11
                ";0;0;99;;
14;14;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/656def6638cec.png; -41%;"
        Atšaldyta kiaulienos nugarinė be kaulo ir odos, vakuumuota, 1 kg
    ";"
             Iki 12.11
                ";0;3;49;"
                5,99
                €
            ";
15;15;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/656def65e8e9a.png; -50%;"
        Šviežia viščiukų broilerių filė VILNIAUS PAUKŠTYNAS, 500 g
    ";"
             Iki 12.11
                ";0;2;74;"
                5,49
                €
            ";
16;16;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/656def656c792.png; -40%;"
        Šviežios viščiukų broilerių sparnelių vidurinės dalys WELL DONE, 500 g
    ";"
             Iki 12.11
                ";0;1;19;"
                1,99
                €
            ";
17;17;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/656def66e66f5.png; -50%;"
        Lėtai virti marinuoti KREKENAVOS kiaulienos šonkauliai, a. r., 1 kg
    ";"
             Iki 12.11
                ";0;7;49;"
                14,99
                €
            ";
18;18;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/656def64ece81.png; -17%;"
        Šviežias vištienos faršas VILNIAUS PAUKŠTYNAS, rieb. mažiau kaip 15 %, 400 g
    ";"
             Iki 12.11
                ";0;1;89;"
                2,29
                €
            ";
19;19;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/656def64a93fc.png; -15%;"
        Šviežia pjaustyta jautiena guliašui ruošti WELL DONE, 400 g
    ";"
             Iki 12.11
                ";0;3;39;"
                3,99
                €
            ";
20;20;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/656def646ee92.png; -23%;"
        Šviežios KAPSŲ kalakutienos dešrelės, 400 g
    ";"
             Iki 12.11
                        , nuo 
                
        ";2;2;29;"
                2,99
                €
            ";
21;21;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/656def7d6e715.png;;"
        Švieži kiaulienos sprandinės pjausniai BIOVELA, 320 g
    ";"
             Iki 12.11
                        , nuo 
                
        ";2;2;99;;AČIŪ
22;22;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/656def7ce95bb.png;;"
        Šviežia kiaulienos nugarinė su šonine WELL DONE, 1 kg
    ";"
             Iki 12.11
                        , nuo 
                
        ";2;6;49;;AČIŪ
23;23;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/656defa02f124.png; -40%;"
        Vištienos filė kepsniai meškinių česnakų marinate, 500 g
    ";"
             Iki 12.11
                        , nuo 
                
        ";2;3;59;"
                5,99
                €
            ";
24;24;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/656def9faa659.png; -23%;"
        Marinuotas viščiukas PREMIUM su cinamono ir obuolių marinatu, 1 kg
    ";"
             Iki 12.11
                ";0;4;99;"
                6,49
                €
            ";
25;25;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/656def582f2e7.png; -26%;"
        Sausai marinuoti MEKSIKIETIŠKI kiaulienos sprandinės kepsneliai, 400 g
    ";"
             Iki 12.11
                        , nuo 
                
        ";2;4;79;"
                6,49
                €
            ";
26;26;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/656defb2a952e.png; -50%;"
        Virtos GIMINIŲ dešrelės, a. r., 860 g
    ";"
             Iki 12.11
                ";0;3;99;"
                7,99
                €
            ";
27;27;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/656defb1e9d43.png; -30%;"
        Virtos kepamosios vištienos dešrelės WELL DONE, 2 rūšių, I r., 270 g
    ";"
             Iki 12.11
                ";0;1;74;"
                2,49
                €
            ";
28;28;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/656defb0e95a7.png; -33%;"
        Virtos LIETUVIŠKOS sardelės, a. r., 1 kg
    ";"
             Iki 12.11
                ";0;3;99;"
                5,99
                €
            ";
29;29;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/656defb12fb71.png; -30%;"
        Virtoms SAMSONO dešroms
    ";"
             Iki 12.11
                ";0;;;;
30;30;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/656defb06ac49.png;1+1;"
        Karštai rūkytas BIOVELOS saliamis, I r., 280 g 2 pak. x 280 g
    ";"
             Iki 12.11
                ";0;3;49;;AČIŪ
31;31;Mėsa ir mėsos gaminiai;https://offers.maxima.lt/media/MarketingOffer/656defb26ccff.png;1+1;"
        Virta PANERIO dešra, a. r., 2 pak. x 250 g
    ";"
             Iki 12.11
                ";0;2;29;;AČIŪ
